id1,id2,id3,R2_N3_cv,R2_N3_fit
1,9,13,-1.38,0.489
1,9,14,-2.671,0.502
1,9,15,-0.726,0.649
1,9,16,-1.578,0.59
1,9,17,-0.618,0.68
1,9,18,-1.812,0.438
1,9,19,-1.835,0.548
1,9,20,-1.27,0.746
1,9,21,-1.669,0.548
1,9,22,-1.512,0.554
1,9,23,-0.9,0.563
1,9,24,-1.1,0.653
1,9,25,-1.524,0.703
1,9,26,-0.076,0.662
1,9,27,-4.479,0.435
1,9,28,-1.317,0.604
1,9,29,-1.814,0.44
1,9,30,-1.116,0.564
1,9,31,-1.295,0.554
1,10,11,-1.535,0.444
1,10,12,-1.752,0.466
1,10,13,-1.64,0.499
1,10,14,-3.179,0.526
1,10,15,-0.788,0.628
1,10,16,-1.9,0.554
1,10,17,-0.558,0.653
1,10,18,-1.95,0.409
1,10,19,-1.654,0.548
1,10,20,-1.304,0.715
1,10,21,-1.68,0.505
1,10,22,-1.527,0.5
1,10,23,-0.886,0.584
1,10,24,-1.082,0.633
1,10,25,-1.117,0.716
1,10,26,-0.13,0.624
1,10,27,-5.316,0.408
1,10,28,-1.309,0.606
1,10,29,-1.838,0.402
1,10,30,-1.158,0.526
1,10,31,-1.34,0.515
1,11,12,-1.673,0.447
1,11,13,-1.546,0.492
1,11,14,-2.03,0.617
1,11,15,-0.219,0.666
1,11,16,-1.34,0.522
1,11,17,0.09,0.673
1,11,18,-1.101,0.461
1,11,19,-1.7,0.531
1,11,20,-0.974,0.767
1,11,21,-1.217,0.566
1,11,22,-0.974,0.561
1,11,23,-0.728,0.604
1,11,24,-1.003,0.661
1,11,25,-1.068,0.679
1,11,26,-0.1,0.618
1,11,27,-5.497,0.42
1,11,28,-0.906,0.584
1,11,29,-1.548,0.45
1,11,30,-0.698,0.558
1,11,31,-0.948,0.548
1,12,13,-1.779,0.468
1,12,14,-2.183,0.493
1,12,15,-0.291,0.679
1,12,16,-1.23,0.576
1,12,17,-0.016,0.693
1,12,18,-1.389,0.434
1,12,19,-1.571,0.541
1,12,20,-0.87,0.793
1,12,21,-1.751,0.571
1,12,22,-1.06,0.556
1,12,23,-0.854,0.598
1,12,24,-0.95,0.654
1,12,25,-0.972,0.75
1,12,26,-0.177,0.617
1,12,27,-4.88,0.44
1,12,28,-0.955,0.624
1,12,29,-1.306,0.468
1,12,30,-0.692,0.581
1,12,31,-1.349,0.564
1,13,14,-1.731,0.488
1,13,15,-0.263,0.706
1,13,16,-1.019,0.625
1,13,17,0.038,0.73
1,13,18,-1.348,0.462
1,13,19,-1.724,0.565
1,13,20,-0.913,0.82
