id1,id2,R2_N2_cv,R2_N2_fit
6,10,-1.167,0.457
6,11,-0.874,0.604
6,12,-1.382,0.451
6,13,-0.894,0.439
6,14,-1.435,0.324
6,15,0.07,0.639
6,16,-1.026,0.443
6,17,-0.211,0.498
6,18,-1.061,0.403
6,19,-1.014,0.481
6,20,-0.981,0.433
6,21,-0.861,0.488
6,22,-1.741,0.483
6,23,-0.404,0.578
6,24,-0.297,0.632
6,25,-0.914,0.584
6,26,0.092,0.626
6,27,-3.775,0.558
6,28,-0.726,0.48
6,29,-1.114,0.621
6,30,-0.727,0.467
6,31,-1.002,0.457
7,8,-2.135,0.147
7,9,-1.978,0.308
7,10,-2.176,0.242
7,11,-1.476,0.355
7,12,-1.636,0.395
7,13,-1.144,0.43
7,14,-2.649,0.307
7,15,-0.486,0.46
7,16,-1.434,0.29
7,17,-0.687,0.38
7,18,-1.28,0.302
7,19,-1.175,0.45
7,20,-0.98,0.405
7,21,-1.235,0.345
7,22,-2.501,0.353
7,23,-0.522,0.412
7,24,-0.681,0.662
7,25,-1.117,0.453
7,26,-0.265,0.546
7,27,-5.324,0.312
7,28,-1.18,0.389
7,29,-1.689,0.389
7,30,-0.792,0.312
7,31,-1.21,0.306
8,9,-1.737,0.289
8,10,-1.554,0.238
8,11,-1.313,0.324
8,12,-1.773,0.396
8,13,-1.508,0.418
8,14,-2.755,0.273
8,15,-0.561,0.486
8,16,-1.445,0.287
8,17,-1.05,0.385
8,18,-1.437,0.273
8,19,-1.24,0.383
8,20,-1.232,0.428
8,21,-1.644,0.319
8,22,-2.609,0.327
8,23,-0.632,0.419
8,24,-0.853,0.609
8,25,-1.234,0.444
8,26,-0.154,0.576
8,27,-6.282,0.271
8,28,-1.15,0.383
8,29,-1.939,0.328
8,30,-0.989,0.298
8,31,-1.132,0.287
9,10,-1.38,0.168
9,11,-1.245,0.31
9,12,-1.492,0.271
9,13,-1.014,0.241
9,14,-2.208,0.173
9,15,-0.431,0.467
9,16,-1.231,0.364
9,17,-0.722,0.512
9,18,-1.329,0.26
9,19,-1.26,0.376
9,20,-1.147,0.487
9,21,-1.386,0.421
9,22,-1.868,0.434
9,23,-0.501,0.414
9,24,-0.638,0.486
9,25,-1.252,0.462
9,26,0.02,0.549
9,27,-4.336,0.261
9,28,-1.011,0.45
9,29,-1.906,0.296
9,30,-0.854,0.415
9,31,-0.972,0.407
10,11,-1.34,0.297
10,12,-1.81,0.272
10,13,-1.411,0.249
10,14,-2.753,0.162
10,15,-0.419,0.447
10,16,-1.496,0.328
10,17,-0.691,0.483
10,18,-1.468,0.245
10,19,-1.186,0.379
10,20,-1.355,0.453
10,21,-1.42,0.376
10,22,-1.999,0.374
10,23,-0.514,0.436
10,24,-0.59,0.469
10,25,-1.001,0.472
10,26,-0.174,0.517
10,27,-5.042,0.26
10,28,-0.998,0.455
10,29,-1.856,0.258
10,30,-0.898,0.374
10,31,-1.016,0.365
11,12,-1.406,0.322
11,13,-1.254,0.34
11,14,-1.61,0.403
11,15,-0.291,0.574
11,16,-1.189,0.376
11,17,-0.142,0.605
11,18,-1.13,0.396
11,19,-1.069,0.426
11,20,-0.855,0.633
11,21,-1.342,0.527
11,22,-1.586,0.524
11,23,-0.531,0.532
11,24,-0.45,0.56
11,25,-1.113,0.507
11,26,-0.243,0.541
11,27,-3.574,0.34
11,28,-0.858,0.503
11,29,-1.548,0.406
11,30,-0.827,0.5
11,31,-0.839,0.492
12,13,-1.595,0.246
12,14,-1.866,0.251
12,15,-0.314,0.561
12,16,-1.174,0.418
12,17,-0.345,0.599
12,18,-1.403,0.322
12,19,-1.056,0.416
12,20,-0.973,0.622
12,21,-1.923,0.51
12,22,-1.919,0.495
12,23,-0.665,0.5
12,24,-0.562,0.527
12,25,-1.1,0.578
12,26,-0.509,0.528
12,27,-3.746,0.365
12,28,-0.864,0.532
12,29,-1.614,0.418
12,30,-1.036,0.503
12,31,-1.471,0.487
13,14,-1.148,0.224
13,15,0.092,0.544
13,16,-0.894,0.421
13,17,-0.03,0.587
13,18,-0.984,0.296
13,19,-1.064,0.403
13,20,-0.769,0.585
13,21,-1.245,0.484
13,22,-1.475,0.48
13,23,-0.382,0.482
13,24,-0.409,0.508
13,25,-0.935,0.567
13,26,-0.125,0.534
13,27,-3.28,0.377
13,28,-0.663,0.535
13,29,-1.203,0.404
13,30,-0.58,0.492
13,31,-0.645,0.472
14,15,-0.482,0.455
14,16,-1.99,0.356
14,17,-1.173,0.438
14,18,-1.47,0.234
14,19,-1.172,0.346
14,20,-1.662,0.417
14,21,-1.632,0.354
14,22,-2.507,0.36
14,23,-0.827,0.407
14,24,-0.477,0.464
14,25,-1.193,0.467
14,26,-0.208,0.565
14,27,-5.38,0.304
14,28,-1.098,0.429
14,29,-1.888,0.295
14,30,-1.14,0.358
14,31,-1.302,0.339
15,16,-0.397,0.521
15,17,-0.235,0.439
15,18,-0.173,0.467
15,19,0.06,0.76
15,20,-0.331,0.603
15,21,-0.013,0.442
15,22,-0.796,0.445
15,23,0.213,0.498
15,24,0.135,0.625
15,25,-0.133,0.58
15,26,0.285,0.58
15,27,-3.088,0.434
15,28,-0.429,0.5
15,29,-0.197,0.43
15,30,0.146,0.428
15,31,0.054,0.431
16,17,-0.456,0.428
16,18,-1.108,0.443
16,19,-0.922,0.459
16,20,-0.888,0.462
16,21,-1.142,0.492
16,22,-1.839,0.517
16,23,-0.486,0.52
16,24,-0.466,0.712
16,25,-1.138,0.506
16,26,0.081,0.685
16,27,-4.602,0.455
16,28,-1.058,0.404
16,29,-1.378,0.429
16,30,-0.654,0.446
16,31,-0.887,0.448
17,18,-0.287,0.487
17,19,-0.335,0.714
17,20,-0.681,0.502
17,21,-0.14,0.413
17,22,-0.921,0.419
17,23,-0.134,0.444
17,24,-0.074,0.702
17,25,-0.221,0.541
17,26,0.274,0.629
17,27,-4.483,0.448
17,28,-0.912,0.466
17,29,-0.758,0.456
17,30,-0.17,0.389
17,31,-0.304,0.391
18,19,-0.83,0.537
18,20,-0.748,0.676
18,21,-1.075,0.329
18,22,-1.712,0.339
18,23,-0.49,0.51
18,24,-0.241,0.6
18,25,-1.112,0.673
18,26,0.026,0.527
18,27,-4.767,0.35
18,28,-0.863,0.465
18,29,-1.123,0.292
18,30,-0.627,0.34
18,31,-0.709,0.328
19,20,-0.974,0.497
19,21,-0.96,0.653
19,22,-1.239,0.66
19,23,-0.4,0.563
19,24,-0.475,0.494
19,25,-1.013,0.48
19,26,0.186,0.75
