id,R2_N1_cv,R2_N1_fit
1,-1.238,0.253
2,-2.187,0.263
3,-0.66,0.324
4,-0.839,0.362
5,-0.915,0.014
6,-0.824,0.301
7,-1.186,0.142
8,-1.32,0.123
9,-1.147,0.168
10,-1.203,0.127
11,-0.839,0.294
12,-1.21,0.246
13,-0.624,0.22
14,-1.2,0.076
15,0.142,0.415
16,-0.826,0.286
17,-0.274,0.38
18,-0.708,0.219
19,-0.761,0.341
20,-0.779,0.402
21,-0.777,0.309
22,-1.593,0.306
23,-0.138,0.393
24,-0.088,0.463
25,-0.794,0.434
26,0.306,0.511
27,-5.131,0.166
28,-0.595,0.382
29,-1.018,0.21
30,-0.197,0.29
31,-0.339,0.275
