id1,id2,id3,id4,R2_N4_cv,R2_N4_fit
1,2,3,4,-2.478,0.671
1,2,3,5,-3.313,0.582
1,2,3,6,-2.347,0.617
1,2,3,7,-3.612,0.655
1,2,3,8,-3.075,0.631
1,2,3,9,-2.853,0.657
1,2,3,10,-2.795,0.708
1,2,3,11,-2.104,0.608
1,2,3,12,-2.258,0.541
1,2,3,13,-1.816,0.564
1,2,3,14,-3.099,0.58
1,2,3,15,-1.644,0.746
1,2,3,16,-2.583,0.746
1,2,3,17,-1.786,0.747
1,2,3,18,-2.462,0.674
1,2,3,19,-2.553,0.565
1,2,3,20,-2.241,0.727
1,2,3,21,-2.495,0.673
1,2,3,22,-2.567,0.629
1,2,3,23,-1.8,0.632
1,2,3,24,-1.822,0.651
1,2,3,25,-2.145,0.701
1,2,3,26,-0.865,0.72
1,2,3,27,-4.118,0.514
1,2,3,28,-2.365,0.699
1,2,3,29,-2.942,0.576
1,2,3,30,-2.813,0.644
1,2,3,31,-2.608,0.628
1,2,4,5,-2.099,0.734
1,2,4,6,-1.747,0.67
1,2,4,7,-2.161,0.666
1,2,4,8,-2.018,0.664
1,2,4,9,-1.903,0.741
1,2,4,10,-1.864,0.74
1,2,4,11,-1.583,0.7
1,2,4,12,-1.705,0.691
1,2,4,13,-1.469,0.727
1,2,4,14,-2.19,0.738
1,2,4,15,-0.978,0.832
1,2,4,16,-1.321,0.722
1,2,4,17,-0.914,0.744
1,2,4,18,-1.168,0.816
1,2,4,19,-1.926,0.674
1,2,4,20,-1.793,0.713
1,2,4,21,-1.472,0.781
1,2,4,22,-1.639,0.76
1,2,4,23,-1.494,0.679
1,2,4,24,-1.162,0.791
1,2,4,25,-2.076,0.717
1,2,4,26,-0.428,0.816
1,2,4,27,-4.47,0.669
1,2,4,28,-1.847,0.749
1,2,4,29,-1.66,0.793
1,2,4,30,-1.531,0.742
1,2,4,31,-1.694,0.739
1,2,5,6,-2.716,0.617
1,2,5,7,-3.91,0.499
1,2,5,8,-3.792,0.478
1,2,5,9,-3.414,0.466
1,2,5,10,-3.212,0.453
1,2,5,11,-3.024,0.468
1,2,5,12,-3.024,0.464
1,2,5,13,-2.597,0.494
1,2,5,14,-4.299,0.529
1,2,5,15,-1.293,0.702
1,2,5,16,-2.993,0.716
1,2,5,17,-1.173,0.693
1,2,5,18,-2.946,0.466
1,2,5,19,-2.778,0.63
1,2,5,20,-2.089,0.745
1,2,5,21,-2.941,0.514
1,2,5,22,-2.711,0.494
1,2,5,23,-1.874,0.544
1,2,5,24,-1.926,0.63
1,2,5,25,-2.216,0.727
1,2,5,26,-0.59,0.614
1,2,5,27,-10.047,0.412
1,2,5,28,-2.441,0.708
1,2,5,29,-2.973,0.451
1,2,5,30,-2.423,0.519
1,2,5,31,-2.783,0.502
1,2,6,7,-2.955,0.576
1,2,6,8,-2.361,0.577
1,2,6,9,-2.243,0.672
1,2,6,10,-1.963,0.656
1,2,6,11,-1.451,0.66
1,2,6,12,-2.02,0.599
1,2,6,13,-1.442,0.622
1,2,6,14,-2.535,0.624
1,2,6,15,-0.686,0.844
1,2,6,16,-2.044,0.744
1,2,6,17,-0.953,0.761
1,2,6,18,-2.092,0.615
1,2,6,19,-2.221,0.61
1,2,6,20,-1.559,0.711
1,2,6,21,-1.747,0.66
1,2,6,22,-1.984,0.641
1,2,6,23,-1.298,0.674
1,2,6,24,-1.041,0.718
1,2,6,25,-1.708,0.734
1,2,6,26,-0.298,0.696
1,2,6,27,-4.777,0.625
1,2,6,28,-2.095,0.736
1,2,6,29,-1.437,0.819
1,2,6,30,-1.628,0.654
1,2,6,31,-1.967,0.641
1,2,7,8,-3.725,0.471
1,2,7,9,-3.559,0.54
1,2,7,10,-3.547,0.515
1,2,7,11,-2.691,0.494
1,2,7,12,-2.771,0.536
1,2,7,13,-2.337,0.601
1,2,7,14,-3.98,0.668
1,2,7,15,-1.552,0.716
1,2,7,16,-2.951,0.663
1,2,7,17,-0.997,0.692
1,2,7,18,-2.974,0.533
1,2,7,19,-2.598,0.569
1,2,7,20,-1.918,0.71
1,2,7,21,-2.776,0.55
1,2,7,22,-2.871,0.538
1,2,7,23,-1.825,0.551
1,2,7,24,-1.728,0.744
1,2,7,25,-2.232,0.668
1,2,7,26,-0.976,0.629
1,2,7,27,-8.548,0.472
1,2,7,28,-3.063,0.678
1,2,7,29,-2.949,0.602
1,2,7,30,-2.222,0.54
1,2,7,31,-2.761,0.529
1,2,8,9,-3.172,0.5
1,2,8,10,-3.062,0.483
1,2,8,11,-2.689,0.455
1,2,8,12,-2.646,0.504
1,2,8,13,-2.055,0.558
1,2,8,14,-3.668,0.593
1,2,8,15,-1.427,0.712
1,2,8,16,-2.88,0.692
1,2,8,17,-0.905,0.693
1,2,8,18,-2.949,0.49
1,2,8,19,-2.558,0.513
1,2,8,20,-1.849,0.709
1,2,8,21,-2.578,0.517
1,2,8,22,-2.5,0.503
1,2,8,23,-1.655,0.542
1,2,8,24,-1.634,0.688
1,2,8,25,-2.249,0.681
1,2,8,26,-0.693,0.635
1,2,8,27,-9.468,0.424
1,2,8,28,-2.634,0.68
1,2,8,29,-2.979,0.521
1,2,8,30,-2.196,0.519
1,2,8,31,-2.561,0.502
1,2,9,10,-3.036,0.468
1,2,9,11,-2.688,0.481
1,2,9,12,-2.439,0.486
1,2,9,13,-2.012,0.503
1,2,9,14,-3.607,0.535
1,2,9,15,-1.363,0.704
1,2,9,16,-2.475,0.673
1,2,9,17,-1.054,0.737
1,2,9,18,-2.906,0.484
1,2,9,19,-2.572,0.549
1,2,9,20,-1.807,0.759
1,2,9,21,-2.401,0.575
1,2,9,22,-2.362,0.57
1,2,9,23,-1.622,0.567
1,2,9,24,-1.598,0.67
1,2,9,25,-2.114,0.716
1,2,9,26,-0.789,0.663
1,2,9,27,-6.915,0.467
1,2,9,28,-2.168,0.686
1,2,9,29,-2.828,0.487
1,2,9,30,-1.898,0.587
1,2,9,31,-2.47,0.574
1,2,10,11,-2.592,0.467
1,2,10,12,-2.634,0.485
1,2,10,13,-2.279,0.514
1,2,10,14,-3.891,0.559
1,2,10,15,-1.469,0.701
1,2,10,16,-2.676,0.667
1,2,10,17,-1.026,0.735
1,2,10,18,-2.948,0.482
1,2,10,19,-2.439,0.55
1,2,10,20,-1.782,0.741
1,2,10,21,-2.411,0.555
1,2,10,22,-2.333,0.54
1,2,10,23,-1.61,0.587
1,2,10,24,-1.604,0.639
1,2,10,25,-1.698,0.729
1,2,10,26,-0.754,0.625
1,2,10,27,-7.539,0.454
1,2,10,28,-2.206,0.701
1,2,10,29,-3.039,0.475
1,2,10,30,-1.984,0.57
1,2,10,31,-2.504,0.556
1,2,11,12,-2.731,0.462
1,2,11,13,-1.977,0.5
1,2,11,14,-2.982,0.617
1,2,11,15,-0.881,0.706
1,2,11,16,-1.975,0.706
1,2,11,17,-0.262,0.722
1,2,11,18,-2.015,0.497
1,2,11,19,-2.428,0.531
1,2,11,20,-1.263,0.77
1,2,11,21,-1.927,0.58
1,2,11,22,-2.148,0.568
1,2,11,23,-1.048,0.605
1,2,11,24,-1.408,0.699
1,2,11,25,-1.901,0.689
1,2,11,26,-0.654,0.618
1,2,11,27,-7.294,0.441
1,2,11,28,-1.855,0.676
1,2,11,29,-2.571,0.489
1,2,11,30,-1.467,0.573
1,2,11,31,-1.686,0.561
1,2,12,13,-2.405,0.502
1,2,12,14,-3.077,0.528
1,2,12,15,-0.973,0.718
1,2,12,16,-1.887,0.666
1,2,12,17,-0.567,0.741
1,2,12,18,-2.321,0.483
1,2,12,19,-2.137,0.542
1,2,12,20,-1.253,0.795
1,2,12,21,-2.37,0.588
1,2,12,22,-2.034,0.568
1,2,12,23,-1.397,0.598
1,2,12,24,-1.333,0.679
1,2,12,25,-1.481,0.804
1,2,12,26,-0.809,0.618
1,2,12,27,-6.837,0.454
1,2,12,28,-1.764,0.694
1,2,12,29,-2.424,0.51
1,2,12,30,-1.468,0.595
1,2,12,31,-1.983,0.577
1,2,13,14,-2.484,0.526
1,2,13,15,-0.795,0.74
1,2,13,16,-1.431,0.692
1,2,13,17,-0.255,0.772
1,2,13,18,-1.933,0.499
1,2,13,19,-1.844,0.565
1,2,13,20,-1.254,0.822
1,2,13,21,-1.829,0.607
1,2,13,22,-1.435,0.594
1,2,13,23,-1.128,0.618
1,2,13,24,-1.279,0.688
