id1,id2,id3,R2_N3_cv,R2_N3_fit
1,2,3,-0.187,0.623
1,2,4,-0.295,0.678
1,2,5,0.054,0.644
1,2,6,0.2,0.675
1,2,7,0.02,0.638
1,2,8,0.151,0.657
1,2,9,0.31,0.654
1,2,10,0.382,0.712
1,2,11,0.022,0.666
1,2,12,0.029,0.671
1,2,13,0.186,0.668
1,2,14,0.107,0.641
1,2,15,0.247,0.662
1,2,16,0.03,0.703
1,2,17,0.307,0.693
1,2,18,0.176,0.656
1,2,19,0.247,0.707
1,2,20,0.056,0.639
1,2,21,-0.471,0.719
1,2,22,-0.817,0.651
1,2,23,0.229,0.718
1,2,24,-0.226,0.714
1,2,25,-0.102,0.731
1,2,26,-0.237,0.67
1,2,27,-4.878,0.84
1,2,28,-1.29,0.638
1,2,29,0.06,0.634
1,2,30,-1.27,0.624
1,2,31,0.084,0.626
1,3,4,-0.863,0.514
1,3,5,-0.224,0.454
1,3,6,-0.363,0.576
1,3,7,-0.266,0.523
1,3,8,-0.308,0.512
1,3,9,0.152,0.563
1,3,10,0.23,0.6
1,3,11,-0.312,0.582
1,3,12,-0.2,0.695
1,3,13,-0.103,0.662
1,3,14,-0.53,0.518
1,3,15,0.147,0.594
1,3,16,-0.477,0.614
1,3,17,0.265,0.588
1,3,18,-0.312,0.538
1,3,19,-0.014,0.7
1,3,20,-0.422,0.476
1,3,21,-0.945,0.713
1,3,22,-0.223,0.562
1,3,23,-0.133,0.503
1,3,24,-0.548,0.706
1,3,25,-0.441,0.742
1,3,26,-0.816,0.645
1,3,27,-3.76,0.614
1,3,28,-2.664,0.467
1,3,29,-0.693,0.518
1,3,30,-2.252,0.51
1,3,31,-0.64,0.464
1,4,5,-0.828,0.503
1,4,6,-0.792,0.573
1,4,7,-0.547,0.657
1,4,8,-0.622,0.516
1,4,9,-0.188,0.563
1,4,10,-0.106,0.601
1,4,11,-0.739,0.594
1,4,12,-0.303,0.685
1,4,13,-0.244,0.687
1,4,14,-0.698,0.587
1,4,15,-0.16,0.622
1,4,16,-0.803,0.635
1,4,17,-0.09,0.603
1,4,18,-0.533,0.526
1,4,19,-0.153,0.727
1,4,20,-0.689,0.5
1,4,21,-0.968,0.685
1,4,22,-0.471,0.568
1,4,23,-0.752,0.498
1,4,24,-0.824,0.701
1,4,25,-0.655,0.68
1,4,26,-0.55,0.684
1,4,27,-2.454,0.688
1,4,28,-1.917,0.569
1,4,29,-1.299,0.598
1,4,30,-2.084,0.567
1,4,31,-1.157,0.496
1,5,6,-0.28,0.522
1,5,7,-0.43,0.52
1,5,8,-0.05,0.522
1,5,9,0.085,0.576
1,5,10,0.296,0.682
1,5,11,-0.127,0.59
1,5,12,0.14,0.657
1,5,13,0.147,0.644
1,5,14,-0.137,0.518
1,5,15,0.148,0.594
1,5,16,-0.137,0.613
1,5,17,0.236,0.588
1,5,18,-0.166,0.543
1,5,19,0.231,0.759
1,5,20,-0.419,0.451
1,5,21,-1.026,0.709
1,5,22,-0.83,0.558
1,5,23,-0.041,0.492
1,5,24,-0.564,0.703
1,5,25,-0.363,0.687
1,5,26,-0.194,0.72
1,5,27,-4.845,0.642
1,5,28,-2.587,0.455
1,5,29,-0.246,0.521
1,5,30,-2.075,0.496
1,5,31,-0.564,0.441
1,6,7,-0.225,0.594
1,6,8,-0.424,0.681
1,6,9,0.1,0.739
1,6,10,0.144,0.765
1,6,11,-0.333,0.586
1,6,12,0.044,0.787
1,6,13,0.141,0.84
1,6,14,-0.269,0.68
1,6,15,0.109,0.603
1,6,16,-0.144,0.733
1,6,17,0.197,0.614
1,6,18,-0.163,0.597
1,6,19,0.196,0.728
1,6,20,-0.377,0.53
1,6,21,-0.744,0.672
1,6,22,-0.736,0.597
1,6,23,-0.077,0.541
1,6,24,-0.471,0.759
1,6,25,-0.466,0.679
1,6,26,-0.678,0.652
1,6,27,-5.442,0.62
1,6,28,-1.956,0.521
1,6,29,-0.323,0.529
1,6,30,-1.804,0.541
1,6,31,-0.335,0.522
1,7,8,0.061,0.561
1,7,9,0.269,0.613
1,7,10,0.402,0.651
1,7,11,-0.298,0.619
1,7,12,0.076,0.664
1,7,13,0.172,0.653
1,7,14,-0.077,0.563
1,7,15,0.219,0.612
1,7,16,-0.539,0.699
1,7,17,0.263,0.6
1,7,18,-0.046,0.639
1,7,19,0.128,0.72
1,7,20,-0.215,0.521
1,7,21,-0.814,0.767
1,7,22,-0.366,0.599
1,7,23,-0.079,0.645
1,7,24,-0.282,0.726
1,7,25,-0.227,0.806
1,7,26,-0.379,0.656
1,7,27,-3.257,0.653
1,7,28,-2.657,0.527
1,7,29,-0.467,0.563
1,7,30,-1.429,0.552
1,7,31,-0.295,0.52
1,8,9,0.14,0.596
1,8,10,0.381,0.647
1,8,11,-0.077,0.614
1,8,12,0.189,0.66
1,8,13,0.25,0.649
1,8,14,0.046,0.555
1,8,15,0.214,0.631
1,8,16,-0.106,0.657
1,8,17,0.266,0.61
1,8,18,0.014,0.539
1,8,19,0.272,0.721
1,8,20,-0.183,0.51
1,8,21,-0.673,0.757
1,8,22,-0.73,0.576
1,8,23,0.067,0.529
1,8,24,-0.281,0.696
1,8,25,-0.239,0.726
1,8,26,-0.269,0.702
1,8,27,-3.329,0.712
1,8,28,-3.566,0.611
1,8,29,-0.537,0.653
1,8,30,-1.333,0.59
1,8,31,-0.261,0.507
1,9,10,0.168,0.602
1,9,11,0.133,0.665
1,9,12,0.306,0.662
1,9,13,0.319,0.657
1,9,14,0.21,0.6
1,9,15,0.342,0.654
1,9,16,0.098,0.675
1,9,17,0.359,0.637
1,9,18,0.186,0.574
1,9,19,0.387,0.726
1,9,20,0.062,0.572
1,9,21,-0.436,0.76
1,9,22,-0.465,0.602
1,9,23,0.217,0.579
1,9,24,-0.159,0.701
1,9,25,-0.036,0.737
1,9,26,0.034,0.725
1,9,27,-2.832,0.792
1,9,28,-1.471,0.679
1,9,29,0.11,0.676
1,9,30,-0.937,0.635
1,9,31,-0.096,0.563
1,10,11,0.235,0.733
1,10,12,0.426,0.687
1,10,13,0.431,0.683
1,10,14,0.366,0.632
1,10,15,0.447,0.7
1,10,16,0.245,0.689
1,10,17,0.459,0.67
1,10,18,0.173,0.601
1,10,19,0.447,0.776
1,10,20,0.041,0.619
1,10,21,-0.269,0.802
1,10,22,-0.337,0.651
1,10,23,0.335,0.608
1,10,24,-0.1,0.725
1,10,25,0.048,0.763
1,10,26,0.191,0.788
1,10,27,-2.554,0.738
1,10,28,-1.142,0.692
1,10,29,0.12,0.757
1,10,30,-0.714,0.698
1,10,31,-0.02,0.606
1,11,12,0.244,0.714
1,11,13,0.136,0.726
1,11,14,-0.089,0.631
1,11,15,0.122,0.651
1,11,16,-0.081,0.704
1,11,17,0.177,0.697
1,11,18,-0.035,0.651
1,11,19,0.208,0.699
1,11,20,-0.373,0.559
1,11,21,-0.653,0.693
1,11,22,-0.722,0.655
1,11,23,-0.133,0.575
1,11,24,-0.319,0.71
1,11,25,-0.502,0.703
1,11,26,-0.323,0.641
1,11,27,-2.997,0.718
1,11,28,-1.682,0.601
1,11,29,-0.362,0.582
1,11,30,-1.063,0.568
1,11,31,-0.622,0.578
1,12,13,0.272,0.662
1,12,14,0.159,0.664
1,12,15,0.165,0.68
1,12,16,0.033,0.717
1,12,17,0.253,0.687
1,12,18,0.19,0.713
1,12,19,0.228,0.753
1,12,20,0.058,0.68
1,12,21,-0.338,0.848
1,12,22,-0.481,0.695
1,12,23,0.042,0.712
1,12,24,-0.053,0.772
1,12,25,-0.112,0.855
1,12,26,0.041,0.766
1,12,27,-2.355,0.81
1,12,28,-1.256,0.704
1,12,29,-0.103,0.691
1,12,30,-0.715,0.674
1,12,31,-0.018,0.66
1,13,14,0.268,0.65
1,13,15,0.379,0.701
1,13,16,-0.033,0.687
1,13,17,0.386,0.709
1,13,18,0.383,0.692
1,13,19,0.308,0.756
1,13,20,0.188,0.653
1,13,21,-0.399,0.838
1,13,22,-0.282,0.682
1,13,23,0.157,0.747
1,13,24,-0.027,0.754
1,13,25,-0.09,0.827
1,13,26,-0.013,0.735
1,13,27,-2.185,0.792
1,13,28,-1.342,0.673
1,13,29,-0.035,0.719
1,13,30,-0.857,0.65
1,13,31,-0.043,0.649
1,14,15,0.222,0.653
1,14,16,-0.366,0.628
1,14,17,0.293,0.685
1,14,18,0.025,0.572
1,14,19,0.243,0.716
1,14,20,-0.21,0.529
1,14,21,-1.035,0.737
1,14,22,-0.65,0.602
1,14,23,-0.268,0.628
1,14,24,-0.276,0.698
1,14,25,-0.321,0.717
1,14,26,-0.253,0.649
1,14,27,-3.247,0.653
1,14,28,-1.913,0.526
1,14,29,-0.446,0.652
1,14,30,-1.578,0.526
1,14,31,-0.369,0.524
1,15,16,0.206,0.797
1,15,17,0.32,0.61
1,15,18,-0.054,0.682
1,15,19,0.368,0.743
1,15,20,0.048,0.605
1,15,21,-0.458,0.741
1,15,22,-0.584,0.61
1,15,23,0.201,0.609
1,15,24,0.07,0.789
1,15,25,-0.073,0.762
1,15,26,-0.116,0.734
1,15,27,-3.36,0.694
1,15,28,-1.139,0.598
1,15,29,-0.029,0.595
1,15,30,-0.844,0.606
1,15,31,0.144,0.603
1,16,17,0.279,0.755
1,16,18,-0.386,0.631
1,16,19,0.261,0.749
1,16,20,-0.635,0.618
1,16,21,-0.737,0.723
1,16,22,-0.56,0.691
1,16,23,-0.271,0.631
1,16,24,-0.219,0.745
1,16,25,-0.312,0.726
1,16,26,-0.145,0.671
1,16,27,-3.972,0.722
1,16,28,-2.264,0.627
1,16,29,-0.231,0.679
1,16,30,-1.346,0.647
1,16,31,-0.505,0.645
1,17,18,0.173,0.682
1,17,19,0.443,0.77
1,17,20,0.18,0.588
1,17,21,-0.409,0.757
1,17,22,-0.496,0.606
1,17,23,0.305,0.596
1,17,24,0.025,0.808
1,17,25,-0.074,0.791
1,17,26,-0.015,0.751
1,17,27,-2.949,0.704
1,17,28,-1.715,0.599
1,17,29,0.095,0.598
1,17,30,-0.689,0.654
1,17,31,-0.147,0.587
1,18,19,0.313,0.718
1,18,20,-0.697,0.547
1,18,21,-0.945,0.677
1,18,22,-0.752,0.615
1,18,23,-0.167,0.54
1,18,24,-0.224,0.695
1,18,25,-0.23,0.678
1,18,26,-0.095,0.659
1,18,27,-3.837,0.669
1,18,28,-1.935,0.546
1,18,29,-0.24,0.647
1,18,30,-1.489,0.551
1,18,31,-0.42,0.521
1,19,20,0.033,0.699
1,19,21,-0.217,0.722
1,19,22,-0.017,0.755
1,19,23,0.36,0.722
1,19,24,0.077,0.737
1,19,25,0.013,0.733
1,19,26,0.211,0.699
1,19,27,-1.77,0.844
1,19,28,-0.453,0.73
1,19,29,0.215,0.704
1,19,30,-0.336,0.7
1,19,31,0.231,0.702
1,20,21,-0.871,0.673
1,20,22,-0.534,0.555
1,20,23,-0.303,0.495
1,20,24,-0.521,0.702
1,20,25,-0.468,0.68
1,20,26,-1.137,0.63
1,20,27,-4.097,0.642
1,20,28,-2.964,0.473
1,20,29,-0.598,0.518
1,20,30,-1.765,0.503
1,20,31,-0.656,0.451
1,21,22,-1.267,0.707
1,21,23,-0.621,0.676
1,21,24,-0.484,0.746
1,21,25,-0.889,0.681
1,21,26,-1.013,0.679
1,21,27,-5.059,0.758
1,21,28,-2.165,0.672
1,21,29,-0.97,0.672
1,21,30,-1.537,0.673
1,21,31,-0.878,0.674
1,22,23,-0.352,0.569
1,22,24,-0.628,0.718
1,22,25,-0.637,0.711
1,22,26,-0.818,0.685
1,22,27,-5.168,0.72
1,22,28,-2.694,0.562
1,22,29,-0.795,0.577
1,22,30,-2.423,0.593
1,22,31,-1.015,0.571
1,23,24,-0.289,0.719
1,23,25,-0.184,0.68
1,23,26,-0.458,0.666
1,23,27,-3.55,0.637
1,23,28,-1.941,0.528
1,23,29,-0.267,0.544
1,23,30,-1.578,0.579
1,23,31,-0.281,0.499
1,24,25,-0.218,0.735
1,24,26,-0.312,0.707
1,24,27,-2.716,0.87
1,24,28,-1.36,0.739
1,24,29,-0.379,0.777
1,24,30,-1.108,0.695
1,24,31,-0.433,0.696
1,25,26,-0.293,0.689
1,25,27,-2.906,0.765
1,25,28,-1.993,0.681
1,25,29,-0.422,0.691
1,25,30,-0.99,0.677
1,25,31,-0.689,0.677
1,26,27,-4.388,0.78
1,26,28,-2.765,0.637
1,26,29,-0.31,0.643
1,26,30,-1.351,0.629
1,26,31,-0.466,0.643
1,27,28,-2.952,0.653
1,27,29,-4.262,0.628
1,27,30,-5.612,0.655
1,27,31,-3.905,0.61
1,28,29,-2.307,0.509
1,28,30,-4.056,0.499
1,28,31,-2.566,0.456
