id1,id2,R2_N2_cv,R2_N2_fit
7,22,0.051,0.448
7,23,-0.917,0.5
7,24,-1.174,0.335
7,25,-1.168,0.489
7,26,-1.752,0.314
7,27,-4.634,0.319
7,28,-4.71,0.241
7,29,-1.865,0.271
7,30,-1.93,0.264
7,31,-1.465,0.212
8,9,-0.36,0.302
8,10,-0.089,0.322
8,11,-1.407,0.27
8,12,-0.743,0.349
8,13,-0.135,0.432
8,14,-0.533,0.342
8,15,-0.098,0.425
8,16,-1.307,0.334
8,17,0.032,0.446
8,18,-1.626,0.165
8,19,-0.251,0.43
8,20,-1.475,0.233
8,21,-1.225,0.445
8,22,-0.082,0.416
8,23,-0.893,0.264
8,24,-1.08,0.279
8,25,-1.145,0.377
8,26,-1.598,0.384
8,27,-4.757,0.409
8,28,-5.511,0.483
8,29,-1.765,0.45
8,30,-1.727,0.355
8,31,-1.449,0.182
9,10,-0.372,0.266
9,11,-0.878,0.366
9,12,-0.562,0.359
9,13,-0.013,0.44
9,14,-0.245,0.404
9,15,0.142,0.456
9,16,-0.84,0.378
9,17,0.205,0.476
9,18,-1.117,0.242
9,19,-0.079,0.449
9,20,-0.962,0.349
9,21,-0.64,0.47
9,22,-0.013,0.438
9,23,-0.663,0.337
9,24,-0.726,0.317
9,25,-0.643,0.416
9,26,-0.981,0.438
9,27,-3.496,0.547
9,28,-2.391,0.58
9,29,-0.651,0.483
9,30,-0.943,0.426
9,31,-0.959,0.278
10,11,-0.769,0.445
10,12,-0.504,0.39
10,13,-0.007,0.466
10,14,-0.137,0.431
10,15,0.233,0.51
10,16,-0.633,0.381
10,17,0.262,0.507
10,18,-1.051,0.265
10,19,0.004,0.511
10,20,-1.023,0.417
10,21,-0.554,0.512
10,22,0.09,0.497
10,23,-0.559,0.352
10,24,-0.666,0.353
10,25,-0.562,0.438
10,26,-0.795,0.508
10,27,-3.257,0.445
10,28,-1.958,0.559
10,29,-0.583,0.585
10,30,-0.819,0.504
10,31,-0.953,0.289
11,12,-0.814,0.413
11,13,-0.357,0.521
11,14,-0.898,0.44
11,15,-0.373,0.427
11,16,-1.694,0.377
11,17,-0.262,0.552
11,18,-2.031,0.303
11,19,-0.528,0.389
11,20,-2.107,0.255
11,21,-2.01,0.334
11,22,-0.418,0.511
11,23,-1.342,0.298
11,24,-1.418,0.297
11,25,-1.948,0.328
11,26,-2.065,0.277
11,27,-6.532,0.387
11,28,-4.159,0.373
11,29,-2.052,0.266
11,30,-1.958,0.246
11,31,-2.305,0.334
12,13,-0.312,0.428
12,14,-0.501,0.439
12,15,-0.339,0.45
12,16,-1.126,0.418
12,17,-0.21,0.505
12,18,-1.447,0.418
12,19,-0.453,0.473
12,20,-1.228,0.499
12,21,-1.164,0.572
12,22,-0.196,0.54
12,23,-0.952,0.533
12,24,-0.916,0.425
12,25,-1.102,0.562
12,26,-1.165,0.475
12,27,-3.062,0.542
12,28,-2.577,0.533
12,29,-1.223,0.443
12,30,-1.208,0.418
12,31,-1.136,0.423
13,14,-0.198,0.433
13,15,0.157,0.55
13,16,-0.678,0.458
13,17,0.218,0.597
13,18,-0.682,0.484
13,19,-0.068,0.543
13,20,-0.457,0.506
13,21,-0.63,0.647
13,22,0.139,0.57
13,23,-0.44,0.669
13,24,-0.307,0.487
13,25,-0.533,0.615
13,26,-0.602,0.515
13,27,-1.838,0.606
13,28,-1.877,0.545
13,29,-0.614,0.578
13,30,-0.717,0.455
13,31,-0.493,0.495
14,15,0.081,0.542
14,16,-1.141,0.394
14,17,0.242,0.634
14,18,-1.12,0.357
14,19,-0.216,0.514
14,20,-0.95,0.389
14,21,-1.261,0.551
14,22,-0.179,0.513
14,23,-0.804,0.57
14,24,-0.763,0.398
14,25,-0.886,0.494
14,26,-0.95,0.418
14,27,-3.59,0.445
14,28,-2.635,0.357
14,29,-1.183,0.57
14,30,-1.688,0.317
14,31,-0.978,0.381
15,16,-0.255,0.643
15,17,0.173,0.445
15,18,-0.884,0.492
15,19,0.095,0.535
15,20,-0.301,0.46
15,21,-0.425,0.516
15,22,0.099,0.463
15,23,-0.198,0.441
15,24,-0.035,0.543
15,25,-0.264,0.535
15,26,-0.618,0.53
15,27,-2.351,0.476
15,28,-1.302,0.42
15,29,-0.438,0.378
15,30,-0.378,0.412
15,31,-0.298,0.461
16,17,-0.092,0.628
16,18,-2.191,0.28
16,19,-0.5,0.455
16,20,-2.017,0.364
16,21,-1.517,0.383
16,22,-0.325,0.549
16,23,-1.347,0.378
16,24,-1.298,0.361
16,25,-1.449,0.369
16,26,-1.329,0.323
16,27,-5.907,0.4
16,28,-4.088,0.373
16,29,-1.577,0.423
16,30,-1.758,0.378
16,31,-1.648,0.446
17,18,-0.57,0.548
17,19,0.237,0.624
17,20,-0.125,0.435
17,21,-0.257,0.592
17,22,0.063,0.488
17,23,-0.098,0.459
17,24,-0.018,0.629
17,25,-0.273,0.633
17,26,-0.435,0.608
17,27,-2.054,0.543
17,28,-2.132,0.482
17,29,-0.301,0.44
17,30,-0.243,0.561
17,31,-0.611,0.444
18,19,-0.889,0.415
18,20,-2.888,0.319
18,21,-2.279,0.313
18,22,-0.689,0.467
18,23,-1.956,0.265
18,24,-1.88,0.266
18,25,-1.852,0.284
18,26,-2.074,0.304
18,27,-6.252,0.325
18,28,-4.433,0.289
18,29,-2.182,0.41
18,30,-2.719,0.249
18,31,-2.417,0.17
19,20,-0.64,0.449
19,21,-0.564,0.403
19,22,0.313,0.62
19,23,-0.033,0.511
19,24,-0.276,0.396
19,25,-0.495,0.407
19,26,-0.615,0.389
19,27,-2.591,0.578
19,28,-1.147,0.541
19,29,-0.385,0.427
19,30,-0.2,0.402
19,31,-0.295,0.471
20,21,-1.556,0.387
20,22,-0.122,0.422
20,23,-1.487,0.292
20,24,-1.633,0.4
20,25,-1.813,0.395
20,26,-2.707,0.307
20,27,-5.714,0.439
20,28,-5.281,0.296
20,29,-2.02,0.3
20,30,-2.188,0.293
20,31,-2.234,0.221
21,22,-0.328,0.526
21,23,-1.004,0.388
21,24,-0.92,0.354
21,25,-1.394,0.303
21,26,-1.825,0.315
21,27,-4.518,0.423
21,28,-2.9,0.362
21,29,-1.916,0.333
21,30,-2.322,0.341
21,31,-1.266,0.385
22,23,0.007,0.442
22,24,-0.08,0.498
22,25,-0.264,0.521
22,26,-0.591,0.524
22,27,-2.146,0.596
22,28,-2.036,0.441
22,29,-0.449,0.434
22,30,-0.383,0.478
22,31,-0.638,0.494
23,24,-1.192,0.426
23,25,-0.976,0.373
23,26,-1.441,0.432
23,27,-4.868,0.39
23,28,-2.9,0.395
23,29,-1.347,0.335
23,30,-1.578,0.447
23,31,-1.54,0.338
24,25,-0.979,0.326
24,26,-1.425,0.303
24,27,-4.589,0.502
24,28,-2.974,0.472
24,29,-1.462,0.472
24,30,-1.207,0.311
24,31,-1.579,0.352
25,26,-1.434,0.311
25,27,-4.759,0.412
25,28,-3.954,0.377
25,29,-1.512,0.364
25,30,-1.403,0.324
25,31,-1.781,0.347
26,27,-6.884,0.463
26,28,-5.1,0.368
26,29,-1.77,0.335
26,30,-1.548,0.276
26,31,-1.987,0.4
27,28,-5.185,0.246
27,29,-6.769,0.323
27,30,-5.457,0.388
27,31,-5.986,0.311
28,29,-4.326,0.227
28,30,-3.973,0.252
28,31,-4.577,0.22
29,30,-2.276,0.31
29,31,-1.965,0.313
30,31,-3.212,0.272
