id1,id2,R2_N2_cv,R2_N2_fit
1,2,0.273,0.623
1,3,0.01,0.453
1,4,-0.496,0.495
1,5,0.14,0.439
1,6,0.01,0.521
1,7,0.075,0.52
1,8,0.197,0.507
1,9,0.336,0.563
1,10,0.44,0.6
1,11,-0.023,0.559
1,12,0.221,0.656
1,13,0.303,0.644
1,14,0.113,0.517
1,15,0.353,0.594
1,16,0.048,0.613
1,17,0.4,0.587
1,18,0.16,0.519
1,19,0.32,0.699
1,20,-0.035,0.45
1,21,-0.735,0.672
1,22,-0.579,0.554
1,23,0.208,0.489
1,24,-0.256,0.695
1,25,-0.207,0.677
1,26,-0.116,0.627
1,27,-3.559,0.61
1,28,-2.04,0.455
1,29,-0.108,0.509
1,30,-1.359,0.492
1,31,-0.122,0.439
2,3,-0.838,0.482
2,4,-1.369,0.527
2,5,-0.581,0.383
2,6,-0.096,0.532
2,7,-0.578,0.389
2,8,-0.355,0.421
2,9,-0.122,0.415
2,10,-0.059,0.49
2,11,-0.639,0.411
2,12,-0.705,0.405
2,13,-0.214,0.463
2,14,-0.328,0.467
2,15,0.027,0.472
2,16,-0.716,0.458
2,17,0.148,0.567
2,18,-1.052,0.407
2,19,-0.182,0.438
2,20,-0.621,0.486
2,21,-0.784,0.449
2,22,0.151,0.509
2,23,-0.252,0.614
2,24,-0.367,0.401
2,25,-0.685,0.452
2,26,-0.933,0.398
2,27,-2.312,0.655
2,28,-1.644,0.463
2,29,-0.66,0.407
2,30,-0.656,0.374
2,31,-0.519,0.438
3,4,-2.133,0.429
3,5,-1.21,0.315
3,6,-0.847,0.555
3,7,-1.178,0.357
3,8,-1.314,0.359
3,9,-0.751,0.399
3,10,-0.645,0.436
3,11,-1.456,0.469
3,12,-1.198,0.416
3,13,-0.696,0.47
3,14,-0.889,0.392
3,15,-0.411,0.462
3,16,-1.557,0.413
3,17,-0.158,0.498
3,18,-1.705,0.413
3,19,-0.709,0.552
3,20,-1.448,0.413
3,21,-1.725,0.632
3,22,0.02,0.499
3,23,-1.097,0.407
3,24,-1.531,0.549
3,25,-1.301,0.677
3,26,-1.751,0.529
3,27,-4.762,0.46
3,28,-3.993,0.347
3,29,-1.591,0.395
3,30,-2.198,0.411
3,31,-1.634,0.408
4,5,-2.837,0.268
4,6,-1.756,0.433
4,7,-2.076,0.503
4,8,-2.327,0.224
4,9,-1.658,0.274
4,10,-1.57,0.295
4,11,-2.895,0.329
4,12,-1.963,0.465
4,13,-1.221,0.549
4,14,-1.892,0.475
4,15,-0.889,0.463
4,16,-2.813,0.375
4,17,-0.603,0.467
4,18,-3.287,0.226
4,19,-1.151,0.513
4,20,-2.61,0.29
4,21,-2.215,0.407
4,22,-0.408,0.433
4,23,-2.42,0.24
4,24,-2.266,0.366
4,25,-2.286,0.366
4,26,-2.588,0.455
4,27,-6.229,0.479
4,28,-4.454,0.485
4,29,-3.456,0.446
4,30,-3.061,0.401
4,31,-3.267,0.274
5,6,-1.012,0.297
5,7,-1.647,0.156
5,8,-1.012,0.195
5,9,-0.5,0.293
5,10,-0.143,0.469
5,11,-1.559,0.176
5,12,-0.907,0.357
5,13,-0.288,0.434
5,14,-0.667,0.311
5,15,-0.079,0.38
5,16,-1.346,0.26
5,17,0.082,0.434
5,18,-2.134,0.208
5,19,-0.224,0.423
5,20,-1.951,0.165
5,21,-1.848,0.312
5,22,-0.358,0.404
5,23,-1.024,0.248
5,24,-1.479,0.261
5,25,-1.315,0.283
5,26,-1.417,0.301
5,27,-7.719,0.337
5,28,-4.908,0.157
5,29,-1.44,0.202
5,30,-2.382,0.181
5,31,-1.732,0.153
6,7,-0.874,0.397
6,8,-1.064,0.571
6,9,-0.147,0.651
6,10,-0.183,0.662
6,11,-1.264,0.342
6,12,-0.524,0.669
6,13,-0.02,0.806
6,14,-0.606,0.645
6,15,0.004,0.423
6,16,-0.769,0.585
6,17,0.118,0.495
6,18,-1.355,0.392
6,19,-0.183,0.532
6,20,-1.016,0.374
6,21,-1.152,0.376
6,22,-0.067,0.494
6,23,-0.625,0.363
6,24,-1.093,0.522
6,25,-0.891,0.387
6,26,-1.652,0.413
6,27,-4.613,0.363
6,28,-2.24,0.306
6,29,-1.194,0.3
6,30,-2.097,0.341
6,31,-1.049,0.34
7,8,-0.791,0.217
7,9,-0.4,0.314
7,10,-0.219,0.35
7,11,-1.778,0.277
7,12,-0.968,0.356
7,13,-0.31,0.435
7,14,-0.666,0.349
7,15,-0.121,0.391
7,16,-1.891,0.397
7,17,0.002,0.429
7,18,-2.044,0.32
7,19,-0.426,0.428
7,20,-1.43,0.229
7,21,-1.514,0.459
