2,14,21,38,7,35,15,10,10,10,2,1,1,24,16,8,16,39,1,14,16,20,14,24,29,8,20,21,33,20,13
14,14,30,14,43,35,15,15,15,15,2,1,1,13,16,33,16,39,1,14,16,21,14,24,29,8,23,34,32,20,13
2,14,30,38,43,35,38,38,11,11,2,1,1,16,16,17,16,39,14,38,23,21,14,24,29,8,23,34,32,20,13
2,14,30,38,5,35,38,15,11,11,2,1,1,1,16,33,16,1,1,38,16,20,14,24,29,8,5,34,32,20,13
2,14,22,38,23,35,38,38,11,11,2,1,1,38,28,28,16,39,1,14,16,20,14,24,29,8,25,34,13,20,13
2,2,21,38,43,35,38,38,11,11,2,2,1,1,16,33,34,39,1,38,16,35,14,24,29,8,22,34,24,20,13
38,38,22,38,43,35,36,39,39,11,2,1,1,24,16,28,16,39,1,38,16,21,14,24,29,8,23,34,32,20,13
2,2,30,38,23,35,38,39,39,11,2,1,1,24,16,33,16,39,1,38,16,20,14,24,29,8,25,34,32,20,13
15,31,21,38,5,35,38,36,10,11,2,2,1,1,16,33,16,39,1,38,2,20,14,24,29,8,23,34,32,20,13
2,24,21,38,23,24,38,36,11,11,24,24,24,24,16,28,16,1,1,38,24,41,24,24,24,8,25,34,31,12,38
2,2,28,38,43,35,36,36,38,36,2,1,1,24,16,28,16,39,1,38,16,20,14,24,29,8,23,34,32,20,13
2,2,21,38,43,35,38,38,10,11,2,1,1,1,16,33,16,39,1,38,16,20,14,24,29,8,23,34,32,20,13
15,27,30,38,43,36,40,16,10,16,2,40,29,29,16,33,16,13,2,38,19,41,25,18,29,8,27,34,6,12,17
2,35,27,25,16,35,39,39,39,11,5,1,1,39,16,16,16,16,25,24,16,21,14,21,33,8,9,34,33,20,13
2,14,30,38,43,35,38,36,10,11,2,1,1,1,16,33,16,39,1,14,23,20,14,24,29,8,4,34,32,21,13
2,14,30,38,5,35,38,38,10,11,2,1,1,1,16,33,16,39,1,38,16,20,14,24,29,8,23,34,32,20,13
