1984,1.6,2.3,3.4,4.1,2.3,3,1.4,2.1,2.5,3.6,2,2.3,2.1,1.8,1,2.6,2.5,1.6,3,2.4,3,2.6,3.2,2.9,3.8,2.3,3.1,2.5
1985,2.5,2.5,4.7,4.4,1.6,2.2,1.9,1.9,1.7,2.9,2.4,2.8,1.5,1.3,0.9,2.5,2.8,1.7,3.1,1.9,2.2,2.3,2.2,2.2,2.7,1.3,2.5,2.5
1986,1.9,2,5.2,4.7,1.6,2.2,2.3,1.5,1.5,3,2.1,2.8,1.5,1.1,1.2,1.7,2.6,1.7,2.3,2.3,2.7,1.5,2.1,1.5,2.4,1.3,2.1,2.5
1987,3.2,1.2,5,3.4,1.2,2.1,1.8,1.6,1.1,2.6,2.4,2.9,1.5,1.5,1.4,1.7,2.3,1.6,1.9,2.2,2.4,1.7,2,1.2,2.1,1.1,1.9,1.5
1988,3.1,1.4,5.1,3.3,1.1,1.9,2.4,1.4,0.8,1.7,3,2.3,1.7,1.3,1.2,2.3,2.3,1.3,1.4,1.8,2.9,1.5,1.9,1.2,2,1.2,1.8,2.3
1989,2.4,0.9,4,2.5,1.6,1.7,3.2,1.2,1.4,1.9,2.9,2.5,1.5,1.5,1.2,2.5,2.3,1.7,0.9,2,3.1,2,2.1,1.4,2.3,1.5,1.3,2.5
1990,2,1.1,3.5,2.8,2.1,1.1,2.4,0.8,1.6,1.5,2.3,2,1.6,1.4,0.5,1.6,2.1,2.7,1,1.8,3.3,2.4,1.8,1.6,1.9,1.7,2.1,2.1
1991,1.9,0.9,3.2,2.4,2,1.4,2.3,1.1,1.4,1.4,2.6,1.8,1.4,1,0.5,1.3,1,2.2,1.2,1.6,2.5,2,1.4,1.5,2.3,1.2,1.6,0.9
1992,2.3,0.5,3.4,1.5,1.6,0.9,2.7,0.9,0.8,0.6,2.5,2.1,1.7,1,1,1.7,1.8,1.1,1.3,1.3,1.6,0.9,1,0.9,1.4,1.2,1.1,1.7
1993,1.9,0.5,2.4,2.3,1.8,0.5,2.4,0.9,1.2,0.6,1.6,1.1,1.8,1.3,0.8,1.8,1.7,1.5,0.7,1.5,2.2,1,1.2,1.4,1.3,1.6,1.2,1.9
1994,1.5,0.3,1.8,2.4,2.5,0.9,3.2,1.2,1.3,0.9,1.1,1.1,2,1.1,0.6,1.2,1.5,1.6,0.8,1.8,2.4,1.7,1.3,1.8,1.6,1.6,1.2,0.8
1995,1.5,0.5,1.7,1.6,1.2,0.9,2.4,1,0.7,0.7,1.5,1.5,1.6,1,0.6,1.3,1.2,1.4,1.3,1.2,1.5,1.2,0.7,1,1.5,1.1,1,0.9
1996,1,0.5,2.1,1.7,1.1,1.1,1.8,1,0.9,0.7,1.5,1.2,1.2,1,0.7,1.3,1.3,1,0.9,0.9,1.5,1.1,0.7,1,1.5,0.9,1,0.9
1997,0.9,0.7,1,2.5,1.9,1.6,1.9,0.9,1,0.9,0.9,1,1,0.9,0.8,1.2,1.7,1.2,0.7,1,2,1.2,1.2,0.9,1.8,1,0.9,1.1
1998,1,0.7,1.5,1.9,1.1,1.8,1.4,1.1,1.1,1,0.8,1.1,1.2,1.1,0.7,1,1.8,0.8,1,0.7,1.3,0.7,0.9,0.5,1.6,1,0.7,1.4
1999,1,0.5,1.6,1.3,1.7,1.9,1.3,0.8,1.2,1,1.2,1.1,1.5,0.9,0.7,1.6,2.5,1.3,0.7,1.1,1,1.1,1.1,0.8,1.7,1.1,0.9,1.6
2000,1,0.6,1.7,1.6,1.7,2.1,1.9,1,1.1,1.2,1,1,1.4,1,0.5,1,2.1,1.7,0.8,1.1,2,1.1,1.4,1,1.7,0.9,1.3,1.9
2001,0.7,0.6,1.2,1.5,1.2,1.6,1.1,0.9,0.9,0.8,1.3,1.4,1.2,1.3,0.6,1.4,2.2,1.3,0.9,0.8,1.5,0.9,1,1.1,1.6,0.7,1,1.9
2002,0.5,0.5,1.3,2.2,1.6,1.1,1,0.7,0.9,0.7,1.1,1.3,1.7,1.4,0.4,1,1.7,1.4,0.6,1.1,1.5,0.9,0.9,0.8,1.4,0.6,1.2,1.7
