datelabels
{Jan 2 - Jan 29[y-1]}
{Jan 16 - Feb 12[y-1]}
{Jan 30 - Feb 26[y-1]}
{Feb 13 - Mar 12[y-1]}
{Feb 27 - Mar 26[y-1]}
{Mar 13 - Apr 9[y-1]}
{Mar 27 - Apr 23[y-1]}
{Apr 10 - May 7[y-1]}
{Apr 24 - May 21[y-1]}
{May 8 - Jun 4[y-1]}
{May 22 - Jun 18[y-1]}
{Jun 5 - Jul 2[y-1]}
{Jun 19 - Jul 16[y-1]}
{Jul 3 - Jul 30[y-1]}
{Jul 17 - Aug 13[y-1]}
{Jul 31 - Aug 27[y-1]}
{Aug 14 - Sep 10[y-1]}
{Aug 28 - Sep 24[y-1]}
{Sep 11 - Oct 8[y-1]}
{Sep 25 - Oct 22[y-1]}
{Oct 9 - Nov 5[y-1]}
{Oct 23 - Nov 19[y-1]}
{Nov 6 - Dec 3[y-1]}
{Nov 20 - Dec 17[y-1]}
{Dec 4 - Dec 31[y-1]}
{Dec 18 - Jan 14}
{Jan 1 - Jan 28}
{Jan 15 - Feb 11}
{Jan 29 - Feb 25}
{Feb 12 - Mar 11}
{Feb 26 - Mar 25}
{Mar 12 - Arp 8}
{Mar 26 - Apr 22}
{Apr 9 - May 6}
{Apr 23 - May 20}
{May 7 - June 3}
{May 21 - June 17}
{Jun 4 - Jul 1}
{Jun 18 - Jul 15}
{Jul 2 - Jul 29}
{Jul 16 - Aug 12}
{Jul 30 - Aug 26}
{Aug 13 - Sep 9}
